Ticker,Fund Name,Date,NAV
SPY,SPDR S&P 500 ETF,2024-10-16 00:00:00-04:00,576.90
SPY,SPDR S&P 500 ETF,2024-10-17 00:00:00-04:00,576.95
SPY,SPDR S&P 500 ETF,2024-10-18 00:00:00-04:00,579.17
SPY,SPDR S&P 500 ETF,2024-10-21 00:00:00-04:00,578.22
SPY,SPDR S&P 500 ETF,2024-10-22 00:00:00-04:00,577.91
SPY,SPDR S&P 500 ETF,2024-10-23 00:00:00-04:00,572.63
SPY,SPDR S&P 500 ETF,2024-10-24 00:00:00-04:00,573.87
SPY,SPDR S&P 500 ETF,2024-10-25 00:00:00-04:00,573.67
SPY,SPDR S&P 500 ETF,2024-10-28 00:00:00-04:00,575.44
SPY,SPDR S&P 500 ETF,2024-10-29 00:00:00-04:00,576.38
SPY,SPDR S&P 500 ETF,2024-10-30 00:00:00-04:00,574.63
SPY,SPDR S&P 500 ETF,2024-10-31 00:00:00-04:00,563.37
SPY,SPDR S&P 500 ETF,2024-11-01 00:00:00-04:00,565.75
SPY,SPDR S&P 500 ETF,2024-11-04 00:00:00-05:00,564.53
SPY,SPDR S&P 500 ETF,2024-11-05 00:00:00-05:00,571.35
SPY,SPDR S&P 500 ETF,2024-11-06 00:00:00-05:00,585.56
SPY,SPDR S&P 500 ETF,2024-11-07 00:00:00-05:00,590.09
SPY,SPDR S&P 500 ETF,2024-11-08 00:00:00-05:00,592.64
SPY,SPDR S&P 500 ETF,2024-11-11 00:00:00-05:00,593.21
SPY,SPDR S&P 500 ETF,2024-11-12 00:00:00-05:00,591.37
SPY,SPDR S&P 500 ETF,2024-11-13 00:00:00-05:00,591.65
SPY,SPDR S&P 500 ETF,2024-11-14 00:00:00-05:00,587.85
SPY,SPDR S&P 500 ETF,2024-11-15 00:00:00-05:00,580.32
SPY,SPDR S&P 500 ETF,2024-11-18 00:00:00-05:00,582.70
SPY,SPDR S&P 500 ETF,2024-11-19 00:00:00-05:00,584.83
SPY,SPDR S&P 500 ETF,2024-11-20 00:00:00-05:00,585.02
SPY,SPDR S&P 500 ETF,2024-11-21 00:00:00-05:00,588.17
SPY,SPDR S&P 500 ETF,2024-11-22 00:00:00-05:00,589.99
SPY,SPDR S&P 500 ETF,2024-11-25 00:00:00-05:00,591.99
SPY,SPDR S&P 500 ETF,2024-11-26 00:00:00-05:00,595.08
SPY,SPDR S&P 500 ETF,2024-11-27 00:00:00-05:00,593.28
SPY,SPDR S&P 500 ETF,2024-11-29 00:00:00-05:00,596.96
SPY,SPDR S&P 500 ETF,2024-12-02 00:00:00-05:00,598.03
SPY,SPDR S&P 500 ETF,2024-12-03 00:00:00-05:00,598.31
SPY,SPDR S&P 500 ETF,2024-12-04 00:00:00-05:00,602.03
SPY,SPDR S&P 500 ETF,2024-12-05 00:00:00-05:00,601.03
SPY,SPDR S&P 500 ETF,2024-12-06 00:00:00-05:00,602.17
SPY,SPDR S&P 500 ETF,2024-12-09 00:00:00-05:00,599.07
SPY,SPDR S&P 500 ETF,2024-12-10 00:00:00-05:00,597.21
SPY,SPDR S&P 500 ETF,2024-12-11 00:00:00-05:00,601.83
SPY,SPDR S&P 500 ETF,2024-12-12 00:00:00-05:00,598.73
SPY,SPDR S&P 500 ETF,2024-12-13 00:00:00-05:00,598.61
SPY,SPDR S&P 500 ETF,2024-12-16 00:00:00-05:00,601.16
SPY,SPDR S&P 500 ETF,2024-12-17 00:00:00-05:00,598.69
SPY,SPDR S&P 500 ETF,2024-12-18 00:00:00-05:00,580.84
SPY,SPDR S&P 500 ETF,2024-12-19 00:00:00-05:00,580.67
SPY,SPDR S&P 500 ETF,2024-12-20 00:00:00-05:00,587.64
SPY,SPDR S&P 500 ETF,2024-12-23 00:00:00-05:00,591.16
SPY,SPDR S&P 500 ETF,2024-12-24 00:00:00-05:00,597.73
SPY,SPDR S&P 500 ETF,2024-12-26 00:00:00-05:00,597.77
SPY,SPDR S&P 500 ETF,2024-12-27 00:00:00-05:00,591.48
SPY,SPDR S&P 500 ETF,2024-12-30 00:00:00-05:00,584.73
SPY,SPDR S&P 500 ETF,2024-12-31 00:00:00-05:00,582.60
SPY,SPDR S&P 500 ETF,2025-01-02 00:00:00-05:00,581.17
SPY,SPDR S&P 500 ETF,2025-01-03 00:00:00-05:00,588.44
SPY,SPDR S&P 500 ETF,2025-01-06 00:00:00-05:00,591.82
SPY,SPDR S&P 500 ETF,2025-01-07 00:00:00-05:00,585.13
SPY,SPDR S&P 500 ETF,2025-01-08 00:00:00-05:00,585.99
SPY,SPDR S&P 500 ETF,2025-01-10 00:00:00-05:00,577.04
SPY,SPDR S&P 500 ETF,2025-01-13 00:00:00-05:00,577.94
SPY,SPDR S&P 500 ETF,2025-01-14 00:00:00-05:00,578.73
SPY,SPDR S&P 500 ETF,2025-01-15 00:00:00-05:00,589.26
SPY,SPDR S&P 500 ETF,2025-01-16 00:00:00-05:00,588.13
SPY,SPDR S&P 500 ETF,2025-01-17 00:00:00-05:00,594.03
SPY,SPDR S&P 500 ETF,2025-01-21 00:00:00-05:00,599.47
SPY,SPDR S&P 500 ETF,2025-01-22 00:00:00-05:00,602.84
SPY,SPDR S&P 500 ETF,2025-01-23 00:00:00-05:00,606.13
SPY,SPDR S&P 500 ETF,2025-01-24 00:00:00-05:00,604.36
SPY,SPDR S&P 500 ETF,2025-01-27 00:00:00-05:00,595.81
SPY,SPDR S&P 500 ETF,2025-01-28 00:00:00-05:00,600.93
SPY,SPDR S&P 500 ETF,2025-01-29 00:00:00-05:00,598.24
SPY,SPDR S&P 500 ETF,2025-01-30 00:00:00-05:00,601.45
SPY,SPDR S&P 500 ETF,2025-01-31 00:00:00-05:00,598.25
SPY,SPDR S&P 500 ETF,2025-02-03 00:00:00-05:00,594.22
SPY,SPDR S&P 500 ETF,2025-02-04 00:00:00-05:00,598.21
SPY,SPDR S&P 500 ETF,2025-02-05 00:00:00-05:00,600.63
SPY,SPDR S&P 500 ETF,2025-02-06 00:00:00-05:00,602.72
SPY,SPDR S&P 500 ETF,2025-02-07 00:00:00-05:00,597.20
SPY,SPDR S&P 500 ETF,2025-02-10 00:00:00-05:00,601.26
SPY,SPDR S&P 500 ETF,2025-02-11 00:00:00-05:00,601.72
SPY,SPDR S&P 500 ETF,2025-02-12 00:00:00-05:00,599.78
SPY,SPDR S&P 500 ETF,2025-02-13 00:00:00-05:00,606.11
SPY,SPDR S&P 500 ETF,2025-02-14 00:00:00-05:00,606.08
SPY,SPDR S&P 500 ETF,2025-02-18 00:00:00-05:00,607.86
SPY,SPDR S&P 500 ETF,2025-02-19 00:00:00-05:00,609.29
SPY,SPDR S&P 500 ETF,2025-02-20 00:00:00-05:00,606.76
SPY,SPDR S&P 500 ETF,2025-02-21 00:00:00-05:00,596.38
SPY,SPDR S&P 500 ETF,2025-02-24 00:00:00-05:00,593.66
SPY,SPDR S&P 500 ETF,2025-02-25 00:00:00-05:00,590.71
SPY,SPDR S&P 500 ETF,2025-02-26 00:00:00-05:00,591.01
SPY,SPDR S&P 500 ETF,2025-02-27 00:00:00-05:00,581.58
SPY,SPDR S&P 500 ETF,2025-02-28 00:00:00-05:00,590.65
